customer_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code
0cf8213cb183cf141084da0bd69d1aadb99ec9ffc488e9f9c97a68b2f66b6a0c,1.0,1.0,ACTIVE,Regularly,28,96a232835d470da5d2ce743bba6738417f40cc44de3fa8437c2d398a8bfeabe1
1320d4b3dd6481cde05bb80fb7ca37397f70470b9afb96aeca5d41175acaf836,1.0,1.0,ACTIVE,Regularly,54,da2dffc9d9cb6a1449dae3835ecb74cdf826ba152df3a0798553a42b37d1d8b8
1865204e369c5552172a84af39523f3c54bf4bb4b7cc2f42d0029f90c23798da,1.0,1.0,ACTIVE,Regularly,43,5c5095cc869377d900d62033cd33e28a0ae3a348e053cde9876a582d246afc87
18d1b539e2dbb5ca9fa50fff4aba78c7df0eea7b4b16732cc48bcbd66f7c94eb,,,ACTIVE,NONE,36,b7f167c703bc018ce4ce69189ef86c80b7b9cfd84d90d8df98d309269a36e791
1b2af1c46d24b96699a20961a36d356ede3bea38d384de1b59035c78c9a47202,1.0,1.0,ACTIVE,Regularly,23,e627d56b167387936abd2976e5bbafb30b00e2e3483e08b7adf321b08b6cdf73
1ccaf2ecad178bb622e4bea8acce4dfd694540010298d8c9b62bbc865a277b56,1.0,1.0,ACTIVE,Regularly,21,4a6f80ae7a2d29768134009aa8446c72e4f4ca73338c5d46c75411fd035a0daf
207fab34463e0125e5e5ebb85f6c0f7da1b653d63fec35d217b6558b07d756ea,,,ACTIVE,NONE,24,d3207d371e92924891c2b43ed5ec0f88300938ac374b0f027f870683fca072d9
235731f98e74c97de94acbe3f5d98d11cb1176d7ce76f3298d80d778e8af316e,1.0,1.0,ACTIVE,Regularly,62,a8561ebe2c1af90d927f00af604277397c814681c0212730c2015045eb0816e5
24dfeac75658df0f8ceb2ad88dacd5fc8396d5ceeac545f4f4a07483a6d85c27,,,ACTIVE,NONE,26,4229d717d4d0d89aac186a7b8048a513aeaccaa63dcc5c7a3b6397e5131aa208
2591149d52baccc1f7fee924d5455b457b2135f72fa376773b7ec79a17742dde,,,ACTIVE,NONE,19,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
2961e46b40d3092a8a3dcab6db79df526ae5ea9bc6d665c6186604c4b75ea8ec,,,ACTIVE,NONE,58,cd71df48971c2baa235ae230e392cc7e3d9da0aed0e6a589862f72f09c481c3f
2c85346dc5da91f471ccb59638700041a7d3366744e6816a4e844568f603eb59,1.0,1.0,ACTIVE,Regularly,22,c3bcfc2bacf0d719d5f4067cb78bb00b698b33b3910db31fce34c22cf7024d46
3cb7f66bbeb3dae9c2f3b1305d116663952e78b047f2d333786faae90f16cc0b,,,ACTIVE,NONE,21,01fb60cc7cc8f258ffbde676d5ce689575657a5aa472520029a2e71a291fa93f
438cbf2b2a234e744639c29d5b73325a5fc222a8a3d87d8e5b50811e7690d96a,,,ACTIVE,NONE,30,54735e1a4ef07b23a377171e3369669a0634ea46e5563b416d4c41d401fe63b3
496a4ad9fab443700f28d6f12b588faf18347bbfbda1b763422bc3c4631903fa,,,ACTIVE,NONE,27,37afaeea69a3cd958d39d5ce68f19c77aa528e6bab80b9f2fc6d15244f36583a
52b212576d73f072f512301188c5963ed629fbd7410506e769d0c54cde6f5a25,,,ACTIVE,NONE,22,592983a8254ec9b01e0e5200f09f03d09e49fadc962c0e2154b4e779db244034
553df37c3444a340c8c73a34e9b70ff342e2c4f13c45fa2e45d867471408b225,1.0,1.0,ACTIVE,Regularly,30,f28897d83376b49886fe79344dc3cfab0dfc7d39593e3d78c5462b1287f24110
5a68bc4f7e3e56a8851c7caa6e9357306a4e829bfbd46f6edcd8ce05f0c05822,,,ACTIVE,NONE,50,a5624b8a38fcbb29a1ee97c1f908149b61bc73294d37035c51ae0ef4a413899b
5dba52e5be1b4bae3cce49fa84381b68bd43cd213d6f3601d4ecb854704d9595,1.0,1.0,ACTIVE,Regularly,20,8b7997ace599ab4e89243482f47218cc6b4944f13c3b59dcba4322c2d677357a
6380f6f04451826432218e60c2f5943bae673fca890dbeedf778061c22f9aa22,,,ACTIVE,NONE,25,eb302474eaa6bc863f687a97c19c5e345253caa55653a1ac63fa317771861bfb
649f2ebdf5d4d51c25ced9472d14189101b10f9cb59e9733e9c05e200e419167,,,ACTIVE,NONE,49,bf5f5712bb9b94adde456d7304de44a9490c564b465105e99aad3e9baae1cfa6
6c7be454bbb5280fe312d42e513a501397d821122079e1551d2eb69820ee6af5,,,ACTIVE,NONE,32,ec48835afe866d6c147426b069c5d68080154304ba5cb68f6ac06bb2542e41b4
728e0ca3530df28a07266cfbb1985ae5b733378d26464cdb7efdc0d334d6bcf9,,,PRE-CREATE,NONE,24,e709cab218afcfd259a7e2832822c282a66a6ef6dca3e4e284993daaace769b7
75ac70c621dbbb8b0e81e2021e0d298f154b86a338643fc98e08e233fe64bfd8,1.0,1.0,ACTIVE,Regularly,56,a4dc74157a0dceee2fbb8820b73e2814c3fa7f338895edd2e3af6d830de94df8
779fd8983413bf9db827a5c1cd299b525bd833575b7fe0411f4ec2944a820159,,,ACTIVE,NONE,26,5c81b8d372eab0cb4e9e1420432aa537725157f9a5f12b957be52646b2103232
7800327ca20cec63ff48f9f9b2a49360d6dd16a98a49a3997b739e9f1c114e0d,1.0,1.0,ACTIVE,Regularly,23,0f8b93ca09b879fb50294dcdace4be8e3d25ce5febd53b7c0d0b71265ef73fa1
7c6de096ae3fe33b93506820ce8338d8d7821ca65553e8a0712185f388b7f74f,1.0,1.0,ACTIVE,Regularly,22,fb9be17469f0314e48fe8d463ab7a2128c3eb3f571ee1814afca7d1c42f3a4fc
7fd19d2e957c7a20986e40fbea04f14f8291b0b3bdc47230c576bbe9a0a46e41,1.0,1.0,ACTIVE,Regularly,54,5621a9b0bba600fef359073a542cd7e9650c0336573d2fc2c26a5261930ad065
8bb6e4969bcee93e0142a9311416184048d7b77d671cc26980851d6f2402831a,,,ACTIVE,NONE,22,ddba8477492ec0d61f12679ede7a8740e174cebe6011fad7c00da9b9d7360332
935c828559dff041d7631f5e9f04cddb6d254a7cc101e462bb25d858658ab03e,,,ACTIVE,NONE,55,fb4081fd95dd8c11fd7b6de2776a0851b5a4311cf6d2ea2adb2692aa68604fc4
9a05bef126b2fd72b468b4f98a94634fe9048a18204513df90f19a736f24ed2d,,,ACTIVE,NONE,51,963d484fb1f1410b0e016b5aa4aabf16b44a62f9e1bab7c424e5fd1e6de9eaae
9ab68f6c3a0243eca3113c5a36ee5fe2212dd33be0a05cd85c3d04cab1fce754,1.0,1.0,ACTIVE,Regularly,26,0d1505b75cba13f79cbd5ba1836bff2595e2a8bbfb329eb3e52aaba60aab8556
9e946c2b983c15c39cef60f45b3747bba31aa68b40fd0bd8d097d412e9692ebc,,,ACTIVE,NONE,47,b28285a3accb1fa71196157b5b4bf5118bdcf6c824883ad0a43f24f1fd9d2746
9ed6b4aed77756eae0214c0d9c539a96a828a579ffdd371988537e67b9ac7074,,,ACTIVE,NONE,21,95403ac14cae73ffd0ab7fbd884452bde577c54e1ce04671589fd87da6369ee2
a02fbe9c3561e22a7689157f92da4d823ddb428b9e9e66da6f89e9b7b5bf6917,,,ACTIVE,NONE,25,d2c466cbd6c868e01e58b2d4a2443e73852272a9c73b1cf5b32401b5fa613f46
a588a23c14f6b67eeab28ed274c0f0a6d7393b916b92a498090169ba90ded345,,,ACTIVE,NONE,22,8060bcd73824d557c22cc27b0d85825fb393bcd282ba25a3eb01f23087c31e2f
aa30f023085dbd80623a215e0c3ec204a8a632494ac928d30e8a7bc95516c89d,,,PRE-CREATE,NONE,20,4bc14c24e073ac15c8c9e77ff3ddb71390abd0361b625e8b5f759f5cd46ea8fa
ba835acb759787a5fdad51afcda5106f7d1b33757ed4f2830d2ca929a52de1b3,1.0,1.0,ACTIVE,Regularly,55,b28b568e27771ce8c2c449bd86da090b4e8c55763bb91d62dae7de76be625563
c4c663c2709e25723c670920ba3c64469386b5957d567293291ba7a885a02306,1.0,1.0,ACTIVE,Regularly,20,8b81b273c0559e96233831f931f17bb90e2d69bf0fcc1cc55faa4251eae521ef
ce1f995285ad4a11aff4276303a596bbe501ea469b1945c523cde8b8149dc763,,,PRE-CREATE,NONE,45,2b43f99769e58cbd7a3557a3c1936cc615d7280a931b81fe5ee0483cc2d50834
